table_position,name,points
1,Juventus,95
2,Napoli,91
3,Roma,77
4,Internazionale,72
5,Lazio,72
6,Milan,64
7,Atalanta,60
8,Fiorentina,57
9,Torino,54
10,Sampdoria,54
11,Sassuolo,43
12,Genoa,41
13,Chievo,40
14,Udinese,40
15,Bologna,39
16,Cagliari,39
17,SPAL,38
18,Crotone,35
19,Hellas Verona,25
20,Benevento,21
1,Manchester City,100
2,Manchester United,81
3,Tottenham Hotspur,77
4,Liverpool,75
5,Chelsea,70
6,Arsenal,63
7,Burnley,54
8,Everton,49
9,Leicester City,47
10,Newcastle United,44
11,Crystal Palace,44
12,AFC Bournemouth,44
13,West Ham United,42
14,Watford,41
15,Brighton & Hove Albion,40
16,Huddersfield Town,37
17,Southampton,36
18,Swansea City,33
19,Stoke City,33
20,West Bromwich Albion,31
1,PSG,93
2,Monaco,80
3,Olympique Lyonnais,78
4,Olympique Marseille,77
5,Rennes,58
6,Bordeaux,55
7,Saint-Étienne,55
8,Nice,54
9,Nantes,52
10,Montpellier,51
11,Dijon,48
12,Guingamp,47
13,Amiens SC,45
14,Angers,41
15,Strasbourg,38
16,Caen,38
17,Lille,38
18,Toulouse,37
19,Troyes,33
20,Metz,26
1,Bayern München,84
2,Schalke 04,63
3,Hoffenheim,55
4,Borussia Dortmund,55
5,Bayer Leverkusen,55
6,RB Leipzig,53
7,Stuttgart,51
8,Eintracht Frankfurt,49
9,Borussia M'gladbach,47
10,Hertha BSC,43
11,Werder Bremen,42
12,Augsburg,41
13,Hannover 96,39
14,Mainz 05,36
15,Freiburg,36
16,Wolfsburg,33
17,Hamburger SV,31
18,Köln,22
1,Barcelona,93
2,Atlético Madrid,79
3,Real Madrid,76
4,Valencia,73
5,Villarreal,61
6,Real Betis,60
7,Sevilla,58
8,Getafe,55
9,Eibar,51
10,Girona,51
11,Espanyol,49
12,Real Sociedad,49
13,Celta de Vigo,49
14,Deportivo Alavés,47
15,Levante,46
16,Athletic Club,43
17,Leganés,43
18,Deportivo La Coruña,29
19,Las Palmas,22
20,Málaga,20